object,slipped,ff_biotac_1,ff_biotac_2,ff_biotac_3,ff_biotac_4,ff_biotac_5,ff_biotac_6,ff_biotac_7,ff_biotac_8,ff_biotac_9,ff_biotac_10,ff_biotac_11,ff_biotac_12,ff_biotac_13,ff_biotac_14,ff_biotac_15,ff_biotac_16,ff_biotac_17,ff_biotac_18,ff_biotac_19,ff_biotac_20,ff_biotac_21,ff_biotac_22,ff_biotac_23,ff_biotac_24,mf_biotac_1,mf_biotac_2,mf_biotac_3,mf_biotac_4,mf_biotac_5,mf_biotac_6,mf_biotac_7,mf_biotac_8,mf_biotac_9,mf_biotac_10,mf_biotac_11,mf_biotac_12,mf_biotac_13,mf_biotac_14,mf_biotac_15,mf_biotac_16,mf_biotac_17,mf_biotac_18,mf_biotac_19,mf_biotac_20,mf_biotac_21,mf_biotac_22,mf_biotac_23,mf_biotac_24,th_biotac_1,th_biotac_2,th_biotac_3,th_biotac_4,th_biotac_5,th_biotac_6,th_biotac_7,th_biotac_8,th_biotac_9,th_biotac_10,th_biotac_11,th_biotac_12,th_biotac_13,th_biotac_14,th_biotac_15,th_biotac_16,th_biotac_17,th_biotac_18,th_biotac_19,th_biotac_20,th_biotac_21,th_biotac_22,th_biotac_23,th_biotac_24
pringles,0,2795,3097,3964,3197,2839,2635,2984,2589,2448,1737,2625,3042,2627,2717,2176,2568,2777,2393,947,1532,3117,3101,3025,2890,3199,3435,3288,3408,3165,3261,3434,3208,3259,3040,3218,3438,3222,3198,2778,3146,3195,3132,2785,2542,3454,3417,3390,3202,2607,2965,2442,2677,2703,1821,2090,2690,2527,1917,2590,3012,2498,2880,2886,2579,2880,2795,2451,2166,3008,2975,2986,2891
pringles,0,2776,3075,3960,3115,2797,2457,2830,2307,2185,1537,2619,3055,2546,2819,2745,2457,2725,1870,1459,1491,3116,3095,3052,2949,3172,3413,3214,3376,3271,3172,3439,3261,3236,2991,3195,3412,3091,3051,2981,2964,3071,3176,2770,2512,3436,3418,3368,3260,2548,2931,2422,2743,2758,1921,2395,2726,2567,2065,2509,2968,2448,2862,2874,2562,2878,2803,2469,2205,2985,2961,2980,2882
pringles,0,2814,3106,3961,3176,2739,2692,2688,1857,1528,1448,2638,3059,2558,2785,2612,2452,2421,1676,229,990,3128,3112,3053,2928,3152,3408,3190,3380,3268,3152,3426,3265,3247,2997,3200,3409,3114,3046,2974,3029,3043,3171,2783,2544,3433,3417,3364,3245,2569,2943,2416,2749,2748,1733,2248,2640,2354,1642,2540,2984,2454,2856,2872,2551,2873,2770,2435,2182,2990,2962,2980,2889
pringles,0,2819,3114,3954,3195,2855,2613,2961,2531,2379,1678,2623,3057,2501,2745,2396,2464,2705,2265,261,1270,3131,3119,3057,2931,3174,3419,3252,3392,3204,3220,3439,3234,3258,3033,3196,3418,3207,3204,2934,3154,3204,3140,2796,2572,3443,3419,3390,3220,2612,2966,2389,2666,2740,1848,2432,2744,2610,1969,2582,3002,2490,2882,2893,2573,2892,2814,2460,2173,3010,2981,3000,2910
pringles,0,2781,3094,3951,3208,2807,2726,3030,2660,2525,1825,2541,2989,2562,2712,2386,2535,2840,2562,2331,1787,3092,3081,3003,2846,3207,3443,3285,3403,3142,3246,3421,3194,3229,2986,3235,3442,3216,3223,2954,3117,3189,3114,2757,2491,3459,3426,3402,3211,2636,2972,2327,2630,2755,1810,2540,2773,2644,1992,2582,3005,2460,2875,2897,2538,2885,2820,2443,2168,3012,2939,2999,2915
pringles,0,2793,3096,3957,3238,2827,2826,3048,2487,1829,1655,2445,2949,2362,2599,2049,2390,2686,2496,2362,1930,3090,3096,2978,2863,3126,3397,3125,3331,3185,3082,3351,3039,3166,2894,3272,3468,3350,3285,3130,3322,3246,2806,2780,2620,3459,3418,3439,3277,2677,3006,2681,2869,2741,2093,2014,2518,2166,1818,2538,2984,2386,2829,2850,2492,2832,2716,2392,2107,3008,2993,2984,2894
pringles,0,2853,3131,3951,3187,2643,2644,2848,2183,1772,1357,2725,3111,2666,2828,2478,2516,2518,1835,1482,1470,3147,3111,3076,2884,3250,3419,3318,3409,3216,3266,3458,3276,3272,3038,3220,3379,3206,3108,2919,3138,3230,3217,2814,2554,3341,3310,3053,2952,2565,2943,2395,2738,2771,1437,2404,2745,2620,2146,2495,2967,2396,2852,2864,2535,2870,2804,2453,2202,2993,2972,2980,2897
pringles,0,2839,3124,3960,3222,2816,2702,2981,2460,2313,1640,2641,3056,2555,2708,2146,2450,2710,2255,2079,1635,3091,3107,3026,2841,3207,3433,3280,3389,3105,3250,3426,3204,3245,3011,3241,3444,3254,3227,2873,3188,3218,3136,2796,2555,3451,3409,3394,3169,2626,2966,2239,2570,2736,1638,2493,2764,2624,1972,2586,3012,2491,2884,2898,2559,2886,2813,2454,2175,3013,2973,3001,2908
pringles,0,2783,3084,2764,2953,2762,2484,2896,2481,2323,1608,2604,3023,2585,2739,2291,2527,2757,2324,2069,1611,3099,3066,3019,2860,3189,3426,3253,3380,3165,3214,3416,3205,3227,2977,3234,3446,3251,3237,3010,3185,3206,3136,2794,2553,3454,3419,3396,3234,2608,2962,2220,2578,2761,1757,2632,2785,2648,1996,2582,3000,2485,2883,2895,2561,2886,2824,2462,2177,3012,2976,3001,2911
pringles,0,2779,3092,3963,3189,2809,2727,2827,2103,361,1251,2536,3014,2458,2760,2666,2440,2763,2331,2309,1686,3114,3100,3042,2947,3140,3412,3181,3366,3258,3175,3389,2943,3139,2922,3206,3437,3222,3261,3257,3191,3274,3007,2763,2549,3458,3436,3432,3301,2597,2961,2518,2808,2739,1820,2316,2615,2329,1867,2513,2970,2397,2833,2856,2515,2849,2745,2417,2139,2990,2965,2971,2882
pringles,1,2770,3077,3961,3120,2840,2390,2870,2398,2236,1563,2573,3028,2409,2763,2729,2299,2726,2245,1958,1462,3117,3093,3051,2973,3059,3367,3032,3308,3264,2970,3376,3254,3216,2912,3147,3405,3114,3225,3269,3021,3256,3235,2805,2539,3426,3398,3412,3298,2587,2954,2464,2813,2830,2046,2788,2811,2662,2007,2533,2976,2416,2861,2878,2508,2872,2827,2457,2169,2966,2978,2998,2925
pringles,1,2770,3096,3954,3204,2831,2803,2886,2198,610,1230,2418,2953,2240,2672,2681,2248,2708,2405,2335,1898,3087,3097,3021,2956,3158,3416,3137,3350,3214,3057,3355,3112,3142,2794,3275,3471,3314,3295,3217,3266,3275,3081,2781,2535,3473,3434,3452,3300,2612,2962,2522,2799,2764,1865,2259,2667,2464,1930,2534,2984,2425,2842,2878,2536,2868,2776,2444,2159,2999,2987,2991,2904
pringles,1,2800,3102,3962,3154,2816,2496,2771,1630,2024,1543,2628,3062,2547,2786,2642,2450,2669,2333,2257,1708,3131,3107,3067,2955,3066,3374,3039,3310,3263,2977,3375,3246,3183,2908,3152,3409,3123,3232,3261,3029,3266,3239,2802,2541,3435,3406,3415,3290,2597,2969,2460,2878,2884,2207,2969,2861,2744,2096,2478,2958,2311,2818,2887,2433,2834,2824,2435,2138,3013,3003,2967,2931
pringles,1,2791,3090,3969,3125,2772,2467,2595,1641,1638,1319,2678,3074,2673,2861,2664,2624,2746,1862,1449,748,3135,3104,3076,2949,3075,3369,3113,3339,3270,3088,3409,3245,3246,3007,3146,3404,3138,3230,3245,3094,3262,3201,2802,2595,3431,3408,3413,3294,2545,2933,2350,2734,2733,1744,2068,2633,2369,1774,2580,3004,2519,2888,2894,2611,2899,2784,2462,2186,2996,2959,2991,2901
pringles,1,2756,3066,3967,3069,2708,2323,2479,2498,2350,1629,2574,3034,2422,2777,2765,2319,2740,2354,327,1245,3102,3067,3041,2926,3061,3370,3034,3308,3266,2972,3370,3257,3216,2922,3152,3408,3119,3220,3259,3022,3257,3238,2804,2536,3427,3400,3413,3294,2583,2969,2495,2842,2857,2172,2869,2829,2687,2007,2513,2981,2376,2848,2896,2484,2859,2825,2450,2151,3009,2999,3001,2923
pringles,1,2751,3062,3964,3091,2822,2357,2818,2205,2222,1585,2594,3035,2477,2781,2748,2401,2598,435,1108,1424,3121,3086,3065,2943,3065,3360,3035,3318,3262,2975,3380,3252,3217,2919,3152,3407,3118,3226,3265,3028,3265,3246,2803,2548,3432,3391,3415,3299,2593,2964,2522,2837,2807,2075,2558,2707,2487,1842,2545,2992,2439,2854,2894,2540,2879,2797,2447,2160,3003,2997,2986,2922
pringles,1,2730,3041,3953,3060,2821,2270,2810,2473,2314,1629,2528,3001,2339,2734,2772,2252,2736,2232,1754,1515,3093,3072,3042,2953,3068,3373,3042,3314,3275,2977,3383,3248,3220,2923,3148,3413,3120,3224,3262,3030,3264,3250,2805,2548,3436,3409,3418,3298,2573,2959,2620,2920,2879,2480,2991,2871,2757,2147,2435,2932,2266,2799,2882,2411,2828,2819,2435,2129,3002,3004,2967,2925
pringles,1,2761,3066,3966,3099,2787,2360,2819,1626,2149,1534,2592,3039,2454,2780,2764,2369,2690,1629,1585,1439,3122,3093,3063,2963,3068,3360,3036,3315,3274,2974,3380,3260,3219,2920,3155,3410,3125,3233,3266,3028,3267,3248,2807,2547,3435,3398,3418,3301,2582,2941,2551,2867,2818,2177,2764,2733,2448,1794,2492,2956,2349,2825,2863,2469,2842,2775,2422,2129,2997,2988,2982,2911
pringles,1,2750,3063,3965,3082,2820,2310,2788,2264,2161,1493,2595,3040,2459,2799,2787,2361,2772,982,2054,1615,3118,3080,3063,2965,3073,3371,3033,3318,3276,2980,3389,3262,3222,2915,3166,3411,3128,3235,3271,3026,3270,3252,2809,2545,3440,3409,3420,3305,2590,2960,2546,2856,2827,2086,2701,2749,2549,1894,2506,2966,2376,2839,2885,2487,2845,2794,2432,2136,3006,2993,2990,2920
pringles,1,2796,3095,3954,3130,2744,2507,2425,1494,1282,1280,2670,3088,2664,2862,2722,2610,2789,2053,1799,1137,3136,3086,3078,2936,3074,3374,3048,3323,3272,2989,3391,3265,3215,2917,3157,3408,3126,3240,3263,3029,3265,3249,2806,2549,3438,3398,3418,3302,2575,2952,2343,2808,2858,1694,2866,2838,2708,2048,2491,2949,2354,2833,2886,2458,2855,2811,2446,2163,2996,2977,2984,2919
colgate,0,2728,3047,3967,3090,2836,2375,2847,2535,2365,1627,2555,3012,2441,2782,2782,2376,2764,2301,1032,1403,3115,3084,3058,2965,3143,3418,3218,3373,3249,3218,3413,3150,3238,3048,3208,3451,3234,3274,3261,3197,3295,3185,2824,2606,3472,3444,3446,3314,2498,2849,1757,2510,2844,2262,2958,2876,2772,2137,2553,2985,2435,2866,2900,2537,2887,2854,2472,2195,2960,2918,2981,2904
colgate,0,2753,3080,3956,3165,2803,2661,2968,2511,2475,1768,2569,3027,2552,2808,2713,2536,2819,2307,1604,1576,3109,3104,3063,2956,3168,3431,3259,3384,3189,3261,3398,3015,3235,3078,3232,3462,3270,3293,3225,3232,3263,3111,2819,2625,3475,3446,3451,3284,2466,2801,1633,2398,2822,2238,2941,2870,2759,2132,2563,2980,2466,2871,2894,2541,2888,2849,2476,2194,2945,2883,2964,2887
colgate,0,2809,3108,3956,3163,2819,2551,2897,2291,2223,1566,2615,3052,2505,2798,2718,2390,2783,2228,2137,1698,3127,3101,3068,2943,3143,3416,3221,3387,3239,3205,3433,3250,3262,3044,3202,3446,3234,3272,3240,3182,3294,3234,2829,2605,3466,3423,3439,3296,2579,2952,2219,2682,2834,1854,2808,2853,2748,2151,2537,2989,2442,2876,2903,2559,2902,2858,2486,2211,3011,2989,3002,2930
colgate,0,2852,3122,3957,3209,2724,2749,2950,2342,2288,1621,2637,3062,2574,2797,2639,2479,2790,2219,2039,1641,3132,3110,3060,2906,3199,3435,3292,3396,3084,3282,3420,3095,3254,3093,3240,3458,3280,3278,3182,3238,3296,3170,2834,2626,3476,3442,3435,3265,2587,2952,2131,2673,2839,1625,2769,2846,2746,2169,2533,2990,2428,2868,2910,2551,2892,2849,2485,2211,3003,2987,3003,2917
colgate,0,2789,3086,3962,3167,2667,2758,2917,2462,2454,1765,2573,3035,2502,2805,2764,2440,2844,2434,2203,1695,3110,3088,3010,2910,3184,3436,3260,3377,3167,3252,3342,3086,3216,3031,3227,3457,3229,3282,3264,3164,3298,3206,2815,2583,3470,3444,3448,3301,2610,2967,2179,2804,2896,2005,2967,2892,2803,2229,2492,2971,2343,2842,2907,2482,2864,2852,2463,2176,3013,3009,2992,2941
colgate,0,2770,3082,3963,3175,2718,2720,2966,2505,2504,1810,2562,3030,2563,2814,2645,2559,2846,2367,2137,1714,3118,3096,3057,2901,3142,3409,3184,3379,3281,3185,3410,3096,3201,2992,3211,3449,3214,3280,3276,3170,3293,3160,2798,2578,3469,3432,3451,3331,2603,2948,2116,2673,2846,2021,2918,2874,2761,2135,2538,2996,2421,2873,2914,2526,2889,2852,2474,2190,3015,2997,3007,2937
colgate,0,2770,3084,3963,3200,2763,2808,2996,2404,2512,1746,2515,3005,2477,2765,2682,2491,2817,2309,2225,1724,3111,3109,3039,2935,3160,3423,3244,3403,3282,3258,3413,2922,3206,3052,3198,3444,3193,3265,3266,3150,3272,3079,2784,2569,3472,3451,3448,3315,2645,2985,2067,2625,2862,2049,2921,2871,2758,2114,2558,3002,2424,2869,2912,2518,2882,2851,2466,2161,3026,2998,2997,2942
