object,slipped,ff_biotac_1,ff_biotac_2,ff_biotac_3,ff_biotac_4,ff_biotac_5,ff_biotac_6,ff_biotac_7,ff_biotac_8,ff_biotac_9,ff_biotac_10,ff_biotac_11,ff_biotac_12,ff_biotac_13,ff_biotac_14,ff_biotac_15,ff_biotac_16,ff_biotac_17,ff_biotac_18,ff_biotac_19,ff_biotac_20,ff_biotac_21,ff_biotac_22,ff_biotac_23,ff_biotac_24,mf_biotac_1,mf_biotac_2,mf_biotac_3,mf_biotac_4,mf_biotac_5,mf_biotac_6,mf_biotac_7,mf_biotac_8,mf_biotac_9,mf_biotac_10,mf_biotac_11,mf_biotac_12,mf_biotac_13,mf_biotac_14,mf_biotac_15,mf_biotac_16,mf_biotac_17,mf_biotac_18,mf_biotac_19,mf_biotac_20,mf_biotac_21,mf_biotac_22,mf_biotac_23,mf_biotac_24,th_biotac_1,th_biotac_2,th_biotac_3,th_biotac_4,th_biotac_5,th_biotac_6,th_biotac_7,th_biotac_8,th_biotac_9,th_biotac_10,th_biotac_11,th_biotac_12,th_biotac_13,th_biotac_14,th_biotac_15,th_biotac_16,th_biotac_17,th_biotac_18,th_biotac_19,th_biotac_20,th_biotac_21,th_biotac_22,th_biotac_23,th_biotac_24
cardboard_pen_case,0,2922,3171,2999,3131,2856,2848,3110,2781,2897,2518,2565,2768,2414,2210,2414,2478,2742,2558,2495,2203,2850,3061,1389,2814,3195,3433,3291,3422,3263,3279,3472,3298,3302,3114,3199,3430,3193,3236,3188,3129,3271,3240,2824,2607,3458,3440,3424,3274,2708,3058,2248,2786,2941,1749,2870,2946,2829,2250,2673,3082,2610,2982,3002,2729,3004,2942,2588,2348,3067,3088,3107,3020
cardboard_pen_case,0,2980,3198,3067,3164,2823,2934,3140,2797,2910,2543,2535,2691,2410,2524,2390,2336,2683,2591,2463,2129,1837,3011,1189,2731,3268,3448,3377,3415,3082,3364,3488,3300,3327,3189,3204,3417,3197,3195,3070,3132,3257,3237,2835,2618,3410,3333,3326,3050,2774,3090,2452,2871,2931,1571,2763,2918,2816,2326,2654,3090,2567,2962,3002,2695,2978,2935,2573,2327,3121,3098,3105,3026
cardboard_pen_case,0,2970,3203,3050,3160,2863,2907,3009,2454,2853,2509,2537,2888,2303,2598,2492,2190,2526,2246,2317,2051,2818,3086,2049,2830,3187,3406,3288,3391,3152,3280,3462,3288,3313,3149,3241,3436,3299,3268,3123,3255,3309,3267,2865,2666,3435,3385,3377,3162,2752,3077,2088,2550,2906,1908,2845,2938,2824,2241,2718,3109,2646,2986,3011,2739,3009,2958,2580,2327,3116,3072,3110,3012
cardboard_pen_case,0,3024,3189,3117,3187,2863,2958,3156,2879,2910,2506,2474,2621,2186,2343,1756,2054,2463,2599,2377,1975,2016,2867,2447,2558,3181,3320,3289,3344,3095,3275,3437,3287,3294,3141,3226,3341,3316,3200,3045,3276,3301,3276,2848,2673,3138,3074,2853,2654,2624,2995,2115,2485,2837,1785,2507,2915,2856,2439,2652,3078,2668,2989,3009,2799,3028,2970,2616,2413,3082,3030,3088,2986
cardboard_pen_case,0,2962,3149,3104,3180,2842,2951,3169,2858,2945,2623,2388,2530,2251,2444,2161,2224,2599,2589,2464,2149,1757,2972,1568,2668,3241,3387,3394,3412,3016,3387,3473,3268,3319,3234,2975,3262,2811,2912,2691,2811,3099,3160,2774,2558,3305,3250,3099,2786,2797,3051,1902,2229,2870,2168,2921,2955,2909,2443,2717,3105,2631,2967,2995,2728,3000,2951,2587,2342,3091,3026,3079,2987
cardboard_pen_case,0,2979,3191,3066,3177,2896,2905,3167,2844,2923,2539,2502,2862,2224,2434,1888,2179,2489,2485,2394,2105,2207,2970,2597,2709,3150,3335,3257,3336,3132,3251,3435,3305,3301,3135,3242,3341,3334,3194,3011,3307,3314,3284,2866,2701,3196,3149,2846,2746,2612,2973,1888,1929,2789,1898,2579,2905,2817,2283,2733,3114,2738,3016,2996,2831,3038,2958,2611,2394,3076,2993,3093,2979
cardboard_pen_case,0,3000,3232,3040,3148,2687,2825,3081,1272,2748,2353,2690,3082,2483,2504,1835,2435,2610,2097,2209,2061,3188,3172,3003,2891,3172,3341,3254,3359,3210,3216,3436,3293,3286,3099,3196,3242,3304,3157,3142,3283,3310,3291,2852,2674,3109,3239,2723,3035,2489,2914,2051,2517,2742,1662,1556,2766,2593,2266,2675,3091,2746,3009,2989,2874,3045,2945,2619,2434,3053,3006,3076,2965
cardboard_pen_case,0,3006,3234,3084,3180,2733,2856,2939,1540,2678,2414,2527,2992,2170,2449,1972,2064,2422,2265,2288,1994,3171,3163,3022,2917,3164,3338,3293,3347,3129,3283,3453,3311,3319,3166,3201,3329,3296,3183,3030,3281,3307,3292,2865,2696,3172,3132,2868,2685,2766,3072,2174,2541,2848,1748,2570,2879,2786,2281,2710,3116,2654,2988,3002,2758,2995,2937,2582,2345,3103,3061,3103,2996
cardboard_pen_case,0,3031,3161,3157,3201,2830,3002,3201,2863,2971,2614,2359,2700,1985,2223,1819,1957,2392,2559,2359,1998,1682,1744,2454,2465,3170,3320,3290,3320,3042,3283,3446,3312,3314,3168,3224,3353,3314,3224,3077,3285,3308,3281,2863,2691,3141,2965,3042,2590,2835,3108,2409,2721,2862,1820,2606,2890,2829,2459,2665,3092,2572,2964,2978,2705,2986,2929,2561,2336,3114,3081,3093,2999
cardboard_pen_case,0,3021,3187,3131,3201,2809,3013,3197,2861,2947,2626,2477,2699,2271,2524,2257,2188,2623,2599,2453,2128,2002,2938,2309,2609,3212,3377,3336,3377,3000,3344,3471,3292,3316,3197,3133,3346,3194,3165,2982,3177,3262,3255,2844,2660,3316,3228,3197,2824,2750,3068,2144,2579,2849,1557,2547,2879,2743,2235,2712,3110,2651,2981,2997,2753,3005,2933,2574,2338,3105,3049,3095,2987
